Civic,Description,Effects,Council position,Shroud attunement,Requirements,DLC
Planetscapers,"After eons of carefully cultivating a perfect balance on their homeworld, this society is ready to tend to even the most inhospitable environments among the stars. At their core, these people believe nature can be shaped, controlled, and perfected. Not to tame, but in service of perfect beauty.","+25% Clear blocker speed
+10% Resources from jobs
+10% Pop growth speed
−15% Pop upkeep
Start with the technology to remove homeworld blockers
Blocker removal technologies are guaranteed after colonization
Enables the Cultivated Worldscaping decision
Cannot take the Mastery of Nature ascension perk
Start with 2 natural blockers
−10% Resources from jobs on planet per natural blocker
−10% Pop growth speed on planet per natural blocker
+15% Pop upkeep on planet per natural blocker",First Planetscaper,Instrument of Desire,"Not Geo-Engineering Inc.
Not Environmentalist
Not Relentless Industrialists
Not Mutagenic Spas
Not Remnants
Not Hard Reset
Not Post-Apocalyptic
Not Calamitous Birth
Not Shattered Ring
Not Void Dwellers
Not Resource Consolidation",Cosmic Storms
Storm Devotion,"Ever since ancient times, this society has been able to attract tempests through their rituals. Over the years, they combined technical innovations to enhance their efficiency. With the dawn of the space age, they now seek to take this knowledge to the stars.","Can construct Storm Summoning Theater buildings
Start with a Storm Summoning Theater building
Founder species has the Storm Touched trait
Replaces Entertainer jobs with Storm Dancer jobs
+20% Diplomatic weight while capital is under a cosmic storm",Grand Herald of Storms,Composer of Strands,Not Hard Reset,Cosmic Storms
Beastmasters,"Coming to full, technological maturity in a system that serves as a feeding ground for Space Amoebas, this society has acquired a deep knowledge of their life cycle. They now work to nurture, raise, and ultimately clone these creatures for mutual benefit.","Start with Space Amoeba pacified
Can construct Beastport starbase modules
Starting Shipyard is replaced by a Beastport
Ship stat technologies are replaced by space fauna stat technologies
Start with all bio-integration technologies
Start with the Gravity Snares technology
Start with the Artificial Breeding technology
Flagella Weaponization technology starts as a permanent research option
Regenerative Hull Tissue technology starts as a permanent research option
Starting corvettes are replaced with Space Amoebae
Start with the Common Space Amoeba genetic material
−15% Space fauna cost
−10% Space fauna upkeep
+200% Artificial military ship build cost
+200% Artificial military ship upkeep cost
12x unity output (150~100 000) when finishing a Grand Archive",Beastlord,Composer of Strands,"Not Eager Explorers
Not Space Ranchers
Not Cosmic Dawn",Grand Archive
Galactic Curators,"The meticulous collection and preservation of historical artifacts has always fascinated this civilization. But now, with the mysteries of the galaxy at their doorstep, there is everything left to learn.","Unlocks the Decentralized Research edict
Replaces Entertainer jobs with Museum Curator jobs
Start with the Galactic Archivism technology as a permanent research option
Start with 1 common artifact specimen from each category
Start with 1 exhibit slot from each category unlocked
+10% Specimens output
+10% Anomaly discovery chance
−25% Grand Archive construction cost
−25% Curator Order costs
+20 Opinion with the Curator Order
6x unity output (100~100 000) Unity per obtained (not purchased) specimen
6x unity output (100~100 000) Unity per excavated archaeological site
12x unity output (150~100 000) when finishing a Grand Archive
−10% Unity from jobs",Supreme Curator,Instrument of Desire,Not Antiquarian Expertise,Grand Archive
Chosen,"Influenced by the Shroud in their early history, this society is bound to a pact of patronage with a powerful entity.","Start with the Shroud tab unlocked
Start with the Psionic Aura technology
On day 2 choose a Major Patron to contact and gain 300 attunement with
Gain unity scaling with attunement
+10 Psionic aura intensity gain
+0.01% Unity from jobs per attunement
+250–1000000 Unity when first delving into the Shroud
+100–1000 Zro when first delving into the Shroud
Cannot choose to reject all covenants
Cannot take ascension path perks except Mind Over Matter
Forming a covenant with Whisperers in the Void removes the civic",Shroudspeaker,Choice,"Spiritualist
Not Death Cult
Not Chosen Executives
Not Imperial Cult
Not Natural Design
Not Augmentation Bazaars
Not Hard Reset
Not Cybernetic Creed
Not Synthetic Fertility
Not Evolutionary Predators
Not Endbringers
Not Mindwardens",Shadows of the Shroud
Secret Societies,"A cabal of elite and secretive figures weave complicated political threads behind the scenes of this society, entwining internal affairs with those of other worlds.","Unlocks secret societies
Unlocks the Start Proxy War diplomatic action
Start with a first contact with 2 empires if they exist
+1 Encryption
+1 Available envoys
−25% Proxy war influence cost
−50% Operation cost
+0.5 Unity per 100 Bureaucrats per active proxy war
+40 Infiltration after first contact",Conspirator Liaison,,"Not Genocidal
Not Crowdsourcing
Not Parliamentary System
Not Influential Cartel
Not Hard Reset
Not Broken Shackles
Not Cybernetic Creed",Shadows of the Shroud
Superstitious Beliefs,"This society claims to have discovered a ritualistic mechanism to predict the future, leveraging esoteric pattern recognition and cyclical anomaly analysis. Proper ceremonies must be performed before every major decision to harmonize with the unseen forces that shape their destiny.","Replaces Priest jobs with Spirit Medium jobs
Replaces High Priest jobs with High Astrologist jobs
Unlocks the Galactic Dowsing edict
Enables cycle modifiers and cycle change events",Chief Medium,,"Spiritualist
Not Fortune Enterprise
Not Cybernetic Creed",Shadows of the Shroud
Tankbound,"This society's members live out their existences suspended in vats of specialized bio-fluids. As such, they are heavily reliant on assistive equipment and incapable of engaging directly in physical work.","Founder species has the Tankbound trait
Worker jobs from districts are automated
Colonist jobs have the Specialist stratum
Start with the Assembly Patterns technology as a permanent research option
Urban districts produce Production Overseer jobs
−25% Upkeep for automated workforce
−2000 Starting pops
+10% Automation efficiency from  Assembly Patterns tech
+10% Automation efficiency from  Construction Templates tech
Homeworld does not start with Agriculture Districts",Grand Vessel,,"Tank vessel species
Not Slaver Guilds
Not Anglers
Not Agrarian Idyll
Not Citizen Service
Not Mining Guilds
Not Private Military Companies
Not Syncretic Evolution
Not Hard Reset
Not Clone Army
Not Knights of the Toxic God
Not Broken Shackles
Not Payback
Not Primal Calling",Shadows of the Shroud
Fire Cult,"Forged by generations of extreme hardship, this society believes in survival through unity, and unity through survival. Only fire-born struggle can bind them tightly enough to endure a cold, uncaring galaxy.","+5% Unity from jobs per habitability below 100%
The Scourge of the Volcano faction will form within a month
The Scourge of the Volcano faction replaces the Traditionalist faction
Replaces Priest jobs with Fire Dancer jobs
Replaces Politican jobs with Fire Oracle jobs on planets with less than 50% Habitability
Can recruit Ember Legion armies on planets with less than 20% Habitability
Unlocks the Blazing Scourge decision
Start with the Deep Crust Engineering technology researched
Synergizes with certain civics, giving Fire Dancers and/or Fire Oracles extra productions.",Pyromanic Priest,,"Spiritualist
Not Aquatic founder species
Not Ocean Paradise
Not Cybernetic Creed",Infernals
Galvanic Synthesis,"This society is able to synthesize regular alloys into Living Metal, and molds its strength and shape-changing properties directly into their technology.","+75% Planetary infrastructure refund
Start with the Living Metal technology researched
Homeworld has a Living Metal Sediment planetary feature
Unlocks the Centrifugal Siphoning and Modular Growth Components edicts
Unlocks regenerative versions of armor components
Kinetic Artillery tech unlocks the Reshaping Projectile Accelerator component
Unlocks the Distribute Living Metal decision
Unlocks Mimetic Strike Force armies
Unlocks Offworld Expedition Hub buildings
Cannot take the Synthetic Evolution ascension perk",Mimetic Overseer,,"Thermophile founder species
Not Biometallic Cartel
Not Synthetic Fertility",Infernals
Planet Forgers,"This society thrives in volcanic environments, and will even create them artificially when nature falls short.","+3 Max districts on Volcanic worlds
+20% Volcanic world habitability
Cold planets are replaced by Volcanic worlds at homeworld selection
Start with the Volcanic Forge technology as a permanent research option
Guaranteed habitable worlds will be Dry worlds unless an origin changes them",Thermal Engineer,,"Not Biological shipset
Not Relentless Industrialists
Not Idyllic Bloom
Not Life-Seeded
Not Ocean Paradise
Not Aquatic founder species",Infernals
Scorched World Heralds,"Heat permeates every facet of this society's culture, from traditions and rituals to technology itself. They see themselves as the galaxy's rightful fiery supremacists, viewing weaker species as mere obstacles on the path to an ideal universe, fit only for Thermophiles.","Genocidal against different species classes

Diplomatic Stance policy is locked to Devastators
Can use Devastation Orbital Bombardment Policy
Firestorm bombardment generates Unity that scales with fleet's size
+50% Naval capacity
+50% Materials research speed
+15% Ship weapons range
+15% Ship build speed
+15% Armor hit points
+40% Army health
+100 Opinion with same species class",Prime Scorcher,,"Thermophile founder species
Xenophobe
Not Pacifist
Not Barbaric Despoilers
Not Fanatic Purifiers
Not Pompous Purists
Not Selective Kinship
Not Crusader Spirit
Not Sovereign Guardianship
Not Genesis Guides
Not Syncretic Evolution
Not Common Ground
Not Hegemon
Not Scion
Not Knights of the Toxic God
Not Broken Shackles
Not Mindwardens",Infernals
